thank you for watching.,"['thank', 'for', '.']"
"that's because just this week, supermarket chain trader joe's became the latest company to drop coverage for part-time workers.","[""'s"", 'because', 'just', 'this', ',', 'supermarket', 'trader', 'joe', ""'s"", 'became', 'the', 'company', 'to', 'coverage', 'for', 'part-time', '.']"
add that to the many other companies doing the same and american workers are becoming sick to their stomach.,"['add', 'to', 'many', 'companies', 'doing', 'the', 'same', 'and', 'workers', 'are', 'sick', 'to', 'their', 'stomach', '.']"
what will it take for folks in dc to wake up and realize the warning sign has become a reality?,"['will', 'it', 'for', 'folks', 'dc', 'to', 'up', 'and', 'the', 'warning', 'has', 'a', 'reality']"
obamacare is a hazard for all hard-working americans.,"['obamacare', 'is', 'hazard', 'for', 'hard-working', '.']"
so now add trader joe's to agrowing list of company changing the worker healthcare due to obamacare and many others are cutting hours.,"['so', 'now', 'add', 'trader', 'joe', 'to', 'list', 'of', 'company', 'the', 'worker', 'healthcare', 'to', 'obamacare', 'and', 'many', 'are', 'cutting', '.']"
this is not what we were promised.,"['is', 'not', 'what', 'were', '.']"
i remember hearing it would bring healthcare to more workers.,"['i', 'remember', 'hearing', 'would', 'bring', 'healthcare', 'to', 'workers', '.']"
now it's fewer.,"['now', ""'s"", 'fewer', '.']"
it's destroying healthcare and also potential employment of the country.,"[""'s"", 'destroying', 'healthcare', 'and', 'potential', 'employment', 'of', 'the', '.']"
43% of the small businesses said they delayed hiring because of obamacare.,"['delayed', 'obamacare', 'businesses', '43', 'said', 'because', 'of', '%', 'the', 'they']"
20% cut employees.,"['20', '%', 'cut', 'employees']"
another 20% cut employee hours because of obamacare.,"['20', '%', 'cut', 'employee', 'hours', 'because', 'obamacare']"
we have mentioned a few of the companies there.,"['have', 'mentioned', 'a', 'of', 'the', 'there']"
"seaworld, lands end, trader joe.","['seaworld', 'lands', 'end', ',', 'joe', '.']"
"circle-k. subway franchises, all over the country cutting the workers' hour, cutting workers because of obamacare.","['circle-k.', 'subway', 'franchises', 'all', 'the', 'cutting', 'workers', ""'"", 'hour', 'cutting', 'workers', 'of', 'obamacare']"
it's force.,"[""'s"", 'force', '.']"
it's force applied to healthcare and also to employment.,"[""'s"", 'force', 'applied', 'to', 'and', 'also', 'employment', '.']"
that's what even after all of this intervention we still have unemployment above 7%.,"[""'s"", 'what', 'after', 'all', 'this', 'we', 'have', 'above', '7', '.']"
it will stay there as we become a european style socialist state under obamacare.,"['under', 'as', 'become', 'obamacare', 'style', 'there', 'stay', 'will', '.', 'european', 'state']"
"smitty, one thing if you mess with my chalupa.","['smitty', 'one', 'thing', 'if', 'mess', 'my', 'chalupa']"
taco bell may cut hours.wendy's also.,"['taco', 'bell', 'may', 'cut', 'hours.wendy', 'also', '.']"
"but if you play around with companies like delta, ibm, kroger food, you are talking major employers.","['if', 'play', 'with', 'companies', 'delta', 'ibm', ',', 'food', ',', 'are', 'talking', 'employers', '.']"
"what bigger message can be sent to washington than private enterprise saying we can't afford it, we're taking it away.","['bigger', 'message', 'can', 'be', 'sent', 'to', 'than', 'private', 'saying', 'we', 'ca', ""n't"", 'it', ',', 'we', ""'re"", 'it', '.']"
that is a primary concern in country right now is jobs.,"['is', 'a', 'concern', 'in', 'country', 'now', 'is', 'jobs', '.']"
what is happening now is the retailers are going to have a tough time finding cheap labor.,"['is', 'happening', 'now', 'is', 'the', 'are', 'going', 'to', 'have', 'tough', 'time', 'cheap', 'labor', '.']"
how many people do you know go get a job like working at trader joe's as a cashier just for the health benefits?,"['how', 'many', 'people', 'do', 'know', 'go', 'get', 'a', 'like', 'working', 'trader', 'joe', 'as', 'a', 'cashier', 'for', 'health', '?']"
that is going by the wayside.,"['is', 'going', 'by', 'wayside']"
the retailers are going to have to start forking over a lot more money just to get through people through the door to work.,"['retailers', 'are', 'going', 'to', 'to', 'start', 'over', 'a', 'lot', 'money', 'to', 'get', 'through', 'people', 'through', 'door', 'to', '.']"
"julie, it's all about the job.","['julie', 'it', 'all', 'about', 'job']"
all about people looking for healthcare.,"['about', 'looking', 'for', 'healthcare']"
"so now the trader joe's employees will no longer have healthcare through trader joe's, but have the same amount of money.","['so', 'joe', 'longer', 'trader', 'no', '.', ""'s"", 'the', 'trader', 'have', 'now', ""'s"", 'through', ',', 'but', 'healthcare', 'amount', 'money', 'will']"
some pay less and some paymore.,"['pay', 'less', 'and', 'paymore']"
this will allow trader joe's to make more money.,"['allow', ""'s"", 'will', 'trader', 'joe', 'money', '.', 'make']"
this is good for trader joe's and not bad for the employees.,"['is', 'good', 'for', 'joe', ""'s"", 'and', 'bad', 'the', 'employees', '.']"
i don't understand.,"['i', 'do', ""n't"", 'understand']"
"you are talking about, jonathan is talking about the massive free market is bad for businesses.","['are', 'talking', 'about', 'jonathan', 'talking', 'about', 'the', 'massive', 'market', 'bad', 'for', 'businesses', '.']"
this is great for trader joe's.,"['is', 'great', 'for', 'joe', ""'s"", '.']"
they've opened dub  hold on.,"[""'ve"", 'opened', 'dub', 'hold', 'on']"
hold on.,"['hold', '.']"
let's do this.,"['let', 'do', 'this']"
point out that trader joe's gave a statement.,"['point', 'that', 'joe', ""'s"", 'gave', 'statement', '.']"
"telling us that 77% of the employee won't see a change, for the remaining trader joe's crew members working an average between 17.3 hours and 29.9 hours per week based on the calculator provide through healthcare.gov.","['telling', 'that', '%', 'of', 'the', 'wo', 'see', 'a', 'change', ',', 'for', 'remaining', 'trader', ""'s"", 'members', 'an', 'average', 'between', '17.3', 'and', '29.9', 'hours', 'per', 'based', 'on', 'calculator', 'provide', 'through', '.']"
we estimate over 70% of them will pay less for comparable insurance.,"['estimate', 'over', '%', 'of', 'them', 'pay', 'for', 'comparable', 'insurance', '.']"
thank you.,"['thank', '.']"
trader je's says 77% won't see a change.,"['trader', 'je', 'says', '77', '%', 'wo', ""n't"", 'see', 'a', '.']"
"what is interesting to me, afl-cio convention they have in los angeles just this last week, you had two major guys, ed hill of the electrical worker union.terry o'sullivan of labor international.","['is', 'interesting', 'to', ',', 'convention', 'have', 'in', 'los', 'just', 'this', 'week', ',', 'you', 'had', 'major', 'guys', ',', 'hill', 'the', 'electrical', 'worker', 'union.terry', ""o'sullivan"", 'labor', 'international', '.']"
these guys came out against it.,"['guys', 'came', 'out', 'it']"
this is not from the right wing.,"['is', 'not', 'from', 'right', '.']"
this is because it's destroying jobs and the union people understand this just as well as the people who are employers.,"['is', 'because', ""'s"", 'jobs', 'and', 'the', 'union', 'understand', 'just', 'as', 'well', 'as', 'people', 'who', 'are', 'employers']"
"so the employers and the employees and people with a selfish best interest, this is not serving anyone's best interest.","['so', 'employers', 'and', 'employees', 'people', 'with', 'selfish', 'best', ',', 'is', 'not', 'serving', 'anyone', 'best', '.']"
i have to i gree with wayne.,"['i', 'have', 'i', 'gree', 'with', '.']"
the unions are saying this isn't a good deal.,"['saying', ""n't"", 'unions', 'are', 'a', '.', 'this', 'good']"
"i love that you are talk about the this as we had trader's joe the employer talking about that is great for is workers, great for them and their bottom line.","['i', 'love', 'you', 'talk', 'about', 'the', 'as', 'had', ""'s"", 'the', 'talking', 'about', 'that', 'great', 'for', 'workers', ',', 'great', 'them', 'their', 'bottom', 'line']"
you won't believe trader joe's.,"['trader', ""'s"", 'believe', 'joe', 'wo', ""n't""]"
who are you going to believe?,"['are', 'you', 'to', 'believe']"
"if you're going to always pick your mantra, i don't understand.","['you', 'going', 'to', 'always', 'your', 'mantra', ',', 'do', ""n't"", '.']"
trader joe's is saying it's great for trader joe's.,"['trader', 'joe', 'is', 'saying', 'it', 'great', 'for', 'trader', ""'s"", '.']"
"it's easy to believe that --guys, guys.","['that', 'to', 'easy', '--', '.', ""'s"", ',']"
john.,['john']
please.,['please']
"workers who are having their hours cut, the employers are cutting jobs.it's not great for any of those involved, julie.","['workers', 'are', 'having', 'their', 'cut', ',', 'the', 'are', 'jobs.it', ""'s"", 'not', 'great', 'for', 'any', 'of', 'those', ',', '.']"
it's not great for the economy at large.,"[""'s"", 'not', 'great', 'for', 'economy', 'large', '.']"
obamacare is force.,"['obamacare', 'is', 'force']"
force is opposite of the wealth creation.,"['force', 'is', 'opposite', 'the', 'creation', '.']"
you won't see new jobs created or major innovation under obamacare.,"['wo', ""n't"", 'see', 'new', 'jobs', 'created', 'or', 'innovation', 'under', 'obamacare']"
this is a hindrance to free market needed in this country.,"['is', 'a', 'to', 'free', 'needed', 'in', 'this', 'country']"
"a long list we provide, not indicktive of whadicktive -- inf what will happen under obamacare.","['long', 'list', 'we', ',', 'not', 'of', 'whadicktive', '--', 'what', 'will', 'under', 'obamacare']"
you have 2200 pages of regulations.,"['have', '2200', 'pages', 'of', '.']"
nobody can understand it.,"['nobody', 'can', 'understand', '.']"
people are trying to.,"['people', 'are', 'trying', '.']"
they go out and they are spending the taxpayer money to hire people.,"['go', 'out', 'they', 'spending', 'taxpayer', 'money', 'to', 'people', '.']"
to explain it.,"['explain', 'it']"
the people who are hiring don't understand it and congress who voted on it never even read it.,"['people', 'who', 'hiring', 'do', ""n't"", 'understand', 'it', 'and', 'who', 'on', 'it', 'even', 'read', '.']"
they sold us the healthcare plan and said the estimate $938 billion.,"['sold', 'us', 'healthcare', 'and', 'said', 'the', '$', '938', '.']"
it's up to $1.8 trillion.,"[""'s"", 'up', '$', 'trillion']"
troubled what they promised.,"['troubled', 'they', '.']"
showing that less people will be covered when it was promised that more people would be covered with healthinsurance.,"['showing', 'less', 'people', 'will', 'be', 'covered', 'when', 'it', 'promised', 'that', 'more', 'would', 'be', 'covered', 'with', 'healthinsurance', '.']"
"bottom line, the argument that trader joe's -- what might be good for trader joe's, according to the statement.","['bottom', 'line', 'the', 'that', 'trader', ""'s"", '--', 'what', 'be', 'for', 'joe', ""'s"", ',', 'according', 'the', 'statement', '.']"
this isn't reality yet.,"['is', ""n't"", 'reality', 'yet', '.']"
it hasn't been proven.,"['proven', '.', 'been', ""n't"", 'has']"
might not be good for the other retailers or the other restaurants or the other grocers of the world.,"['might', 'not', 'be', 'good', 'the', 'retailers', 'or', 'the', 'restaurants', 'the', 'other', 'grocers', 'the', '.']"
this could have a long-term hazardous efect the economy in this country and the job market right now.,"['.', 'country', 'a', 'have', 'the', 'efect', 'the', 'could', 'hazardous', 'this', 'economy', 'market', 'right']"
"bottom line, that should be the concern of the government right now.","['bottom', 'line', 'that', 'be', 'the', 'concern', 'the', 'government', 'now']"
that should be the concern of washington.,"['should', 'be', 'the', 'of', 'washington']"
no providing healthcare.,"['providing', 'healthcare', '.']"
"if you are a large employer, major employer and the only people forced in the mandate are the large businesses, the vast majority 95% are not under this.","['you', 'a', 'large', ',', 'major', 'employer', 'the', 'only', 'people', 'in', 'mandate', 'are', 'the', 'large', ',', 'vast', 'majority', '95', 'are', 'not', 'under', '.']"
"but if you are a large business, one of two things.","['if', 'are', 'large', 'business', 'one', 'of', 'two', '.']"
you either provide healthcare and you will continue to provide healthcare so nothing will effect you one way or another.,"['either', 'healthcare', 'and', 'you', 'continue', 'provide', 'healthcare', 'so', 'will', 'effect', 'you', 'way', 'or', 'another', '.']"
"if you decide to get rid of healthcare for the part-time workers those workers -- by the way, any worker could do it today.","['you', 'to', 'get', 'of', 'healthcare', 'for', 'part-time', 'workers', 'workers', 'by', 'the', 'way', 'any', 'worker', 'do', 'today']"
they are not mandate to keep employing anybody or keep give healthcare to anybody.,"['are', 'not', 'mandate', 'to', 'employing', 'anybody', 'or', 'keep', 'healthcare', 'to', 'anybody', '.']"
those people now have a place to go.,"['people', 'now', 'have', 'a', 'to', 'go']"
they have healthcare.,"['have', 'healthcare', '.']"
"the open arms of government saying c'mon, come to us.","['open', 'arms', 'of', 'saying', ""c'mon"", ',', 'come', 'us', '.']"
this is what we wanted.,"['is', 'what', 'wanted']"
"no, i mean --jonathan?","[',', 'mean', '--', 'jonathan']"
if only large employers are affect how come half of the small employers say they delayed hiring because of obamacare?,"['only', 'large', 'employers', 'are', 'affect', 'how', 'come', 'half', 'of', 'small', 'say', 'they', 'delayed', 'hiring', 'of', 'obamacare', '?']"
let him finish.,"['let', 'finish', '.']"
"well, it's affecting their hiring potential and the way they run the business.","['well', 'it', 'affecting', 'their', 'hiring', 'and', 'the', 'way', 'run', 'business', '.']"
it's affecting the economy overall.,"[""'s"", 'affecting', 'the', 'overall', '.']"
you only like to look at what you see the net benefit.,"['only', 'like', 'look', 'what', 'you', 'the', 'benefit']"
you don't look at the cost.,"['do', ""n't"", 'look', 'at', 'cost']"
the cost is burdened not by the individuals but by the employers trying to create jobs.,"['.', 'by', 'burdened', 'the', 'cost', 'trying', 'is', 'by', 'not', 'create', 'individuals']"
we got to leave it there.,"['got', 'to', 'it', 'there']"
this could go on for hours.,"['go', 'hours', 'on', 'could']"
"coming up, obama versus putin over syria.","['coming', ',', 'versus', 'putin', 'over', 'syria']"
"is this stakes, high-stakes battle in the middle east more about the economic superpower than the military might?","['is', 'stakes', ',', 'battle', 'in', 'the', 'east', 'about', 'the', 'economic', 'superpower', 'the', 'might', '?']"
"heart healthy, huh?!ugh!","['heart', 'healthy', 'huh', '?', 'ugh']"
actually progresso's soup has pretty bold flavor.,"['actually', 'progresso', 'soup', 'has', 'pretty', 'bold', 'flavor', '.']"
i love bold flavors!,"['i', 'love', 'bold', 'flavors']"
i'd love it if you'd open the chute!progresso.,"['i', ""'d"", 'love', 'if', ""'d"", 'the', 'chute', '!', '.']"
surprisingly bold flavor for a heart healthy soup.,"['surprisingly', 'bold', 'flavor', 'a', 'healthy', 'soup', '.']"
check out bass pro shops for great deals during our gear up sale.,"['check', 'bass', 'pro', 'shops', 'for', 'deals', 'during', 'our', 'up', '.']"
"and get the same great savings at basspro.com, plus free shipping on orders of $75 or more.","['get', 'the', 'great', 'savings', 'at', 'basspro.com', 'plus', 'free', 'on', 'of', '$', '75', 'more', '.']"
"(ding, ding) how long have i had my car insurance?","['how', 'had', 'my', 'i', 'insurance', ')', 'car', ',', 'ding', 'have']"
"i don't know, eight, ten years.","['i', 'do', ""n't"", 'know', 'eight', ',', 'years', '.']"
i couldn't tell you but things were a lot less expensive back then.,"['i', 'could', ""n't"", 'tell', 'but', 'were', 'a', 'lot', 'expensive', 'back', 'then', '.']"
if you're 50 or over you should take a new look at your auto insurance.,"['50', 'look', 'your', 'or', 'over', 'insurance', 'at', 'should', 'you', '.', 'a']"
you may be overpaying.,"['be', '.', 'overpaying', 'may']"
actually that makes a lot of sense.,"['actually', 'makes', 'a', 'of', 'sense']"
old policy.,"['old', 'policy']"
old rates.,"['old', 'rates']"
"and thanks to your experience behind the wheel, you might save $350 by switching to the aarp auto insurance program from the hartford.","['aarp', 'insurance', 'to', 'experience', 'program', 'wheel', 'hartford', 'to', '$', 'save', 'thanks', 'you', 'by', 'the', 'the', 'the']"
"plus, you'll get benefits that reward your driving record, like our promise that you won't be dropped.","[',', ""'ll"", 'benefits', 'that', 'reward', 'your', 'record', ',', 'our', 'promise', 'that', 'wo', 'be', '.']"
"wait, you won't drop me?","['wait', 'you', ""n't"", 'drop', 'me', '?']"
seriously?,['seriously']
"that's right, you won't be dropped.","[""'s"", 'right', ',', 'wo', 'be', 'dropped', '.']"
i'm gonna call.,"['i', ""'m"", 'gon', 'call', '.']"
if you're 50 or over call now to request your free quote.,"['you', '50', 'or', 'over', 'now', 'request', 'your', 'free', '.']"
i'm calling.,"['i', ""'m"", 'calling']"
call now to request your free quote and we'll send you a free calculator.,"['request', 'and', 'call', 'now', 'calculator', 'send', 'quote', 'free', 'a', 'your', 'we']"
call today and make the switchto the aarp auto insurance program from the hartford.,"['the', 'today', 'the', 'aarp', 'program', 'from', 'call', 'the', 'insurance', 'make', 'hartford']"
"hello, everybody.","['hello', 'everybody', '.']"
i'm uma pemmaraju in washington.,"['i', ""'m"", 'uma', 'pemmaraju', 'washington', '.']"
"well, it looks like they've got a deal.","['well', 'it', 'like', 'they', 'got', 'deal', '.']"
u.s. and russia say they hammered out a plan for syria to destroy the chemical when stock pile.,"['u.s.', 'russia', 'say', 'they', 'out', 'a', 'for', 'to', 'destroy', 'chemical', 'when', 'pile', '.']"
does it mean that crisis is averted?,"['does', 'mean', 'that', 'is', 'averted', '?']"
"coming up, we ask the fox news military analyst.","['coming', ',', 'ask', 'fox', 'news', 'analyst', '.']"
"by air, land any way possible.","['air', ',', 'any', 'way', '.']"
crews are rescuing hundreds of people if colorado as the state has flooding that is described as one of biblical proportion.,"['crews', 'are', 'rescuing', 'hundreds', 'people', 'if', 'as', 'the', 'has', 'that', 'is', 'described', 'as', 'of', 'biblical', 'proportion']"
we have a live report from one of the hardest hit area at the top of hour.,"['have', 'a', 'report', 'from', 'one', 'the', 'hardest', 'area', 'the', 'top', 'of', 'hour']"
battle of the undefeated in what could be box richest and most watched fight ever.,"['battle', 'the', 'in', 'what', 'be', 'richest', 'and', 'most', 'watched', 'fight', '.']"
diana demayo and alvarez square off tonight --mayweather and alvarez square off tonight in vegas.,"['diana', 'demayo', 'alvarez', 'square', 'off', '--', 'mayweather', 'alvarez', 'square', 'tonight', 'in', 'vegas']"
that's at the top of the hour.,"[""'s"", 'at', 'top', 'the', 'hour']"
hope you join us.,"['us', 'join', 'hope']"
see you then.,"['see', 'then', '.']"
you have been hearing about it.,"['have', 'been', 'hearing', 'about', '.']"
and shouldn't we focus on flexing the economic biceps as well as the six-pack military abs?,"['should', ""n't"", 'we', 'on', 'flexing', 'economic', 'biceps', 'well', 'as', 'the', 'six-pack', 'military', '?']"
you have six-pack abs.,"['have', 'six-pack', 'abs', '.']"
"we have the strongest military in world, bar none.","['have', 'the', 'military', 'in', 'world', 'bar', 'none']"
we know.,"['know', '.']"
that should about we get back to focus on the economic strength?,"['should', 'about', 'get', 'to', 'focus', 'on', 'economic', 'strength']"
"to the energy king himself, let's focus on getting natural gas out of the ground here to liquefy it and sending it over to china.","['the', 'king', 'himself', ',', ""'s"", 'on', 'getting', 'gas', 'out', 'the', 'ground', 'here', 'to', 'it', 'sending', 'over', 'to', 'china']"
what are we doing here?,"['are', 'we', 'here', '?']"
we need to find out a way to make china dependent on us and convert their dollars to our dollars.,"['need', 'to', 'out', 'a', 'to', 'china', 'dependent', 'us', 'and', 'convert', 'their', 'to', 'dollars']"
"john, globally, we rank fifth now in 2007, 2008.we were first on global competitiveness.","['john', 'globally', ',', 'rank', 'now', 'in', '2007', ',', 'were', 'first', 'global', 'competitiveness', '.']"
"not only, that economic freedom.","['not', 'only', 'that', 'freedom', '.']"
tenth.,['tenth']
sliding on just about every economic metric against the rest of the world.,"['sliding', 'just', 'about', 'economic', 'against', 'the', 'rest', 'the', '.']"
"there is not a difference in water and new york and pyongyang or new york and havana, cuba.","['havana', 'or', 'and', 'not', 'is', 'cuba', 'water', 'york', 'a', 'pyongyang', 'new', 'new', '.', 'in']"
that created a superpower status.,"['created', 'a', 'status', '.']"
it was before the federal reserve or the minimum wage.,"['was', 'before', 'federal', 'or', 'the', 'minimum', '.']"
or superpower status is established before that.,"['superpower', 'status', 'is', 'established', 'before', '.']"
"to get back to the status, return to principles and the ideals.","['to', '.', 'get', 'and', 'back', 'to', 'the', 'return', 'status']"
with this president we are going in the opposite direction.,"['this', 'we', 'are', 'in', 'the', 'opposite', '.']"
we are getting it back on the economic feet.,"['are', 'getting', 'it', 'on', 'the', 'feet']"
i'm not sure that it has that much to do with how youregistered with the rest of world.,"['i', ""'m"", 'not', 'sure', 'it', 'that', 'much', 'to', 'do', 'how', 'youregistered', 'the', 'rest', 'of', '.']"
the peace of the world was main taped 1815 waterloo to 1914 world war i. but by people who understood balance of power.,"['who', 'by', 'i.', 'main', 'of', 'but', 'to', 'waterloo', '1815', 'taped', 'peace', '1914', '.', 'world', 'world', 'balance', 'people', 'power']"
we have a problem in middle east.,"['have', 'a', 'in', 'middle', '.']"
"if we could play one of those people off the other, negotiate between one and the other.","['we', 'play', 'one', 'of', 'those', 'off', 'other', ',', 'between', 'and', 'the', '.']"
"if we could recognize what the selfish best interest are and utilize that, instead of using the military power with a threat, that is what we need to do to position ourselves with the rest of the world.","['we', 'recognize', 'what', 'the', 'best', 'are', 'and', 'utilize', 'that', ',', 'of', 'using', 'military', 'with', 'a', ',', 'that', 'what', 'we', 'need', 'do', 'position', 'ourselves', 'the', 'of', 'the', '.']"
"we tax our people two have, we tax have a lot and give have-not quiet a bit.","['tax', 'our', 'two', 'have', ',', 'we', 'have', 'lot', 'and', 'give', 'quiet', 'a', '.']"
we are sliding economically.,"['sliding', 'economically', 'are', '.']"
is this a bad policy?,"['is', 'a', 'policy', '?']"
should we guess back to capitalist society.,"['should', 'guess', 'back', 'to', 'society', '.']"
"if you look the countries,one, two, three.","['you', 'the', 'countries', 'one', ',', ',', 'three']"
"as much as we were or britain, that is why we slid from 2018 the crash.","['as', 'much', 'we', 'or', 'britain', 'that', 'is', 'we', 'from', '2018', 'the', '.']"
there is a great point.,"['is', 'a', 'point', '.']"
i will agree.,"['i', 'will', 'agree']"
we need a robust diplomacy.,"['need', 'a', 'diplomacy', '.']"
we need to play these people off of each other and do what is in our national interest.,"['need', 'to', 'these', 'people', 'of', 'each', 'and', 'what', 'in', 'our', 'interest', '.']"
let me do this.,"['let', 'do', 'this']"
we rank 25th against the world.,"['rank', '25th', 'against', 'world']"
"in reading, we are 12th.","[',', 'are', '.', 'reading']"
"education society, economic freedom.","['education', 'society', 'economic', 'freedom', '.']"
we are heading the wrong direction.,"['the', '.', 'heading', 'are', 'direction']"
we need the fantastic schools to do a wonderful josh enkating the kid.,"['need', 'the', 'schools', 'to', 'do', 'wonderful', 'josh', 'the', 'kid', '.']"
"they are much less restrictions, or how long congress or business friendly climb.","['are', 'much', 'less', 'restrictions', ',', 'how', 'congress', 'or', 'business', 'friendly', '.']"
that is not a country's natural resources or themilitary to create wealth.,"['is', 'not', 'a', ""'s"", 'natural', 'or', 'themilitary', 'to', 'wealth', '.']"
it's a principle.,"[""'s"", 'a', '.']"
i don't know if you want to move away and go toward the european style socialism?,"['i', 'do', ""n't"", 'know', 'you', 'to', 'move', 'and', 'go', 'toward', 'european', 'style', '?']"
they have 28% unemployment in greece.,"['have', '28', '%', 'unemployment', 'in', '.']"
how did you know?,"['how', 'did', 'know', '?']"
how did you guess?,"['how', 'did', 'guess', '?']"
what is the alternative?,"['is', 'the', '?']"
move away from capitalism.,"['move', 'away', 'capitalism', '.']"
you're putting words in my mouth.,"[""'re"", 'putting', 'words', 'in', 'mouth']"
"all i'm saying is you are agree with wayne and what everybody else is saying yes, we need to double the effort to get the economy back on track.","['i', ""'m"", 'saying', 'is', 'you', 'agree', 'with', 'wayne', 'what', 'everybody', 'is', 'yes', ',', 'we', 'need', 'to', 'double', 'effort', 'get', 'the', 'back', 'on', '.']"
"when you do obamacare, it's a socialized medicine, is it not?","['when', 'do', 'obamacare', ',', ""'s"", 'socialized', 'medicine', 'is', 'it', 'not']"
"well, it is.","['well', 'it', '.']"
"there are things that are -- obviously, we need to rejuvenate the economy.","['are', 'things', 'that', '--', 'obviously', 'we', 'need', 'rejuvenate', 'economy', '.']"
"we only need, we have had 4-1/2 years of obama.","['only', 'need', ',', 'have', '4-1/2', 'years', 'of', 'obama', '.']"
we are still above 7% unemployment rate.,"['are', 'still', 'above', '%', 'unemployment', 'rate', '.']"
3 the facts.,"['3', 'facts', '.']"
we have to deal with facts.,"['have', 'to', 'with', 'facts']"
rejuvenate the economy in many ways.,"['rejuvenate', 'economy', 'in', 'ways', '.']"
"yes, capitalism is something,because capital schism brings us freedom.","['because', 'is', ',', ',', '.', 'something', 'schism', 'us', 'freedom']"
we know that.,"['know', 'that']"
we have to insist on that.,"['have', 'to', 'on', 'that']"
"at the same time, you have to use your selfish best interest in diplomacy to get the best you can out of it.","['the', 'time', ',', 'you', 'to', 'your', 'selfish', 'interest', 'in', 'to', 'get', 'the', 'best', 'can', 'out', 'it', '.']"
the proof of that is in history.,"['proof', 'of', 'is', 'history', '.']"
just read it.,"['just', 'read', '.']"
very good.,"['very', 'good']"
"we will, wayne.","[',', 'will', '.']"
good advice.,"['good', 'advice']"
sound advice.,"['sound', 'advice']"
"coming up, forget protesting.","['protesting', '.', ',', 'coming']"
"inviting nine union workers to team up with the union bus some here say the new membership drive to drive johns away.fort benning, georgia in 1999.usaa auto insurance is often handed down from generation to generation.","['inviting', 'nine', 'union', 'workers', 'team', 'up', 'the', 'bus', 'here', 'say', 'the', 'membership', 'drive', 'to', 'johns', 'away.fort', 'benning', ',', 'in', '1999.usaa', 'auto', 'insurance', 'is', 'handed', 'down', 'generation', 'to', 'generation', '.']"
"because it offers a superior level of protection and because usaa's commitment to serve military members, veterans, and their families is without equal.","['it', 'a', 'superior', 'of', 'protection', 'and', 'usaa', ""'s"", 'to', 'military', 'members', 'veterans', ',', 'their', 'families', 'is', 'without', '.']"
"begin your legacy, get an auto insurance quote.","['begin', 'legacy', ',', 'an', 'auto', 'quote', '.']"
usaa.,['usaa']
we know what it means to serve.,"['know', 'what', 'means', 'serve', '.']"
"coming up, big labor pulling out the rug from workers in america.","['america', 'coming', 'out', 'pulling', 'from', ',', 'the', 'in', 'labor']"
voter of one state called big labor making another big push for members.,"['voter', 'one', 'state', 'called', 'big', 'labor', 'making', 'another', 'push', 'for', 'members']"
so far this summer we have seen protest for the nonunion workers and now the afl-cio announcing it will open its doors to any nonunion worker.,"['so', 'far', 'summer', 'we', 'seen', 'protest', 'for', 'the', 'workers', 'now', 'the', 'afl-cio', 'it', 'will', 'its', 'doors', 'to', 'nonunion', 'worker', '.']"
