keywords,caption
taco bell may cut hours.wendy also .,taco bell may cut hours.wendy's also.
"if play with companies delta ibm , food , are talking employers .","but if you play around with companies like delta, ibm, kroger food, you are talking major employers."
"bigger message can be sent to than private saying we ca n't it , we 're it .","what bigger message can be sent to washington than private enterprise saying we can't afford it, we're taking it away."
is a concern in country now is jobs .,that is a primary concern in country right now is jobs.
is happening now is the are going to have tough time cheap labor .,what is happening now is the retailers are going to have a tough time finding cheap labor.
how many people do know go get a like working trader joe as a cashier for health ?,how many people do you know go get a job like working at trader joe's as a cashier just for the health benefits?
is going by wayside,that is going by the wayside.
retailers are going to to start over a lot money to get through people through door to .,the retailers are going to have to start forking over a lot more money just to get through people through the door to work.
julie it all about job,"julie, it's all about the job."
about looking for healthcare,all about people looking for healthcare.
"so joe longer trader no . 's the trader have now 's through , but healthcare amount money will","so now the trader joe's employees will no longer have healthcare through trader joe's, but have the same amount of money."
pay less and paymore,some pay less and some paymore.
allow 's will trader joe money . make,this will allow trader joe's to make more money.
is good for joe 's and bad the employees .,this is good for trader joe's and not bad for the employees.
i do n't understand,i don't understand.
are talking about jonathan talking about the massive market bad for businesses .,"you are talking about, jonathan is talking about the massive free market is bad for businesses."
is great for joe 's .,this is great for trader joe's.
've opened dub hold on,they've opened dub  hold on.
hold .,hold on.
let do this,let's do this.
point that joe 's gave statement .,point out that trader joe's gave a statement.
"telling that % of the wo see a change , for remaining trader 's members an average between 17.3 and 29.9 hours per based on calculator provide through .","telling us that 77% of the employee won't see a change, for the remaining trader joe's crew members working an average between 17.3 hours and 29.9 hours per week based on the calculator provide through healthcare.gov."
estimate over % of them pay for comparable insurance .,we estimate over 70% of them will pay less for comparable insurance.
thank .,thank you.
trader je says 77 % wo n't see a .,trader je's says 77% won't see a change.
"is interesting to , convention have in los just this week , you had major guys , hill the electrical worker union.terry o'sullivan labor international .","what is interesting to me, afl-cio convention they have in los angeles just this last week, you had two major guys, ed hill of the electrical worker union.terry o'sullivan of labor international."
guys came out it,these guys came out against it.
is not from right .,this is not from the right wing.
is because 's jobs and the union understand just as well as people who are employers,this is because it's destroying jobs and the union people understand this just as well as the people who are employers.
"so employers and employees people with selfish best , is not serving anyone best .","so the employers and the employees and people with a selfish best interest, this is not serving anyone's best interest."
i have i gree with .,i have to i gree with wayne.
saying n't unions are a . this good,the unions are saying this isn't a good deal.
"i love you talk about the as had 's the talking about that great for workers , great them their bottom line","i love that you are talk about the this as we had trader's joe the employer talking about that is great for is workers, great for them and their bottom line."
trader 's believe joe wo n't,you won't believe trader joe's.
are you to believe,who are you going to believe?
"you going to always your mantra , do n't .","if you're going to always pick your mantra, i don't understand."
trader joe is saying it great for trader 's .,trader joe's is saying it's great for trader joe's.
"that to easy -- . 's ,","it's easy to believe that --guys, guys."
john,john.
please,please.
"workers are having their cut , the are jobs.it 's not great for any of those , .","workers who are having their hours cut, the employers are cutting jobs.it's not great for any of those involved, julie."
's not great for economy large .,it's not great for the economy at large.
obamacare is force,obamacare is force.
force is opposite the creation .,force is opposite of the wealth creation.
wo n't see new jobs created or innovation under obamacare,you won't see new jobs created or major innovation under obamacare.
is a to free needed in this country,this is a hindrance to free market needed in this country.
"long list we , not of whadicktive -- what will under obamacare","a long list we provide, not indicktive of whadicktive -- inf what will happen under obamacare."
have 2200 pages of .,you have 2200 pages of regulations.
nobody can understand .,nobody can understand it.
people are trying .,people are trying to.
go out they spending taxpayer money to people .,they go out and they are spending the taxpayer money to hire people.
explain it,to explain it.
people who hiring do n't understand it and who on it even read .,the people who are hiring don't understand it and congress who voted on it never even read it.
sold us healthcare and said the $ 938 .,they sold us the healthcare plan and said the estimate $938 billion.
's up $ trillion,it's up to $1.8 trillion.
troubled they .,troubled what they promised.
showing less people will be covered when it promised that more would be covered with healthinsurance .,showing that less people will be covered when it was promised that more people would be covered with healthinsurance.
"bottom line the that trader 's -- what be for joe 's , according the statement .","bottom line, the argument that trader joe's -- what might be good for trader joe's, according to the statement."
is n't reality yet .,this isn't reality yet.
proven . been n't has,it hasn't been proven.
might not be good the retailers or the restaurants the other grocers the .,might not be good for the other retailers or the other restaurants or the other grocers of the world.
. country a have the efect the could hazardous this economy market right,this could have a long-term hazardous efect the economy in this country and the job market right now.
bottom line that be the concern the government now,"bottom line, that should be the concern of the government right now."
should be the of washington,that should be the concern of washington.
providing healthcare .,no providing healthcare.
"you a large , major employer the only people in mandate are the large , vast majority 95 are not under .","if you are a large employer, major employer and the only people forced in the mandate are the large businesses, the vast majority 95% are not under this."
if are large business one of two .,"but if you are a large business, one of two things."
either healthcare and you continue provide healthcare so will effect you way or another .,you either provide healthcare and you will continue to provide healthcare so nothing will effect you one way or another.
you to get of healthcare for part-time workers workers by the way any worker do today,"if you decide to get rid of healthcare for the part-time workers those workers -- by the way, any worker could do it today."
are not mandate to employing anybody or keep healthcare to anybody .,they are not mandate to keep employing anybody or keep give healthcare to anybody.
people now have a to go,those people now have a place to go.
have healthcare .,they have healthcare.
"open arms of saying c'mon , come us .","the open arms of government saying c'mon, come to us."
is what wanted,this is what we wanted.
", mean -- jonathan","no, i mean --jonathan?"
only large employers are affect how come half of small say they delayed hiring of obamacare ?,if only large employers are affect how come half of the small employers say they delayed hiring because of obamacare?
let finish .,let him finish.
well it affecting their hiring and the way run business .,"well, it's affecting their hiring potential and the way they run the business."
's affecting the overall .,it's affecting the economy overall.
only like look what you the benefit,you only like to look at what you see the net benefit.
do n't look at cost,you don't look at the cost.
. by burdened the cost trying is by not create individuals,the cost is burdened not by the individuals but by the employers trying to create jobs.
got to it there,we got to leave it there.
go hours on could,this could go on for hours.
"coming , versus putin over syria","coming up, obama versus putin over syria."
"is stakes , battle in the east about the economic superpower the might ?","is this stakes, high-stakes battle in the middle east more about the economic superpower than the military might?"
heart healthy huh ? ugh,"heart healthy, huh?!ugh!"
actually progresso soup has pretty bold flavor .,actually progresso's soup has pretty bold flavor.
i love bold flavors,i love bold flavors!
i 'd love if 'd the chute ! .,i'd love it if you'd open the chute!progresso.
surprisingly bold flavor a healthy soup .,surprisingly bold flavor for a heart healthy soup.
check bass pro shops for deals during our up .,check out bass pro shops for great deals during our gear up sale.
get the great savings at basspro.com plus free on of $ 75 more .,"and get the same great savings at basspro.com, plus free shipping on orders of $75 or more."
"how had my i insurance ) car , ding have","(ding, ding) how long have i had my car insurance?"
"i do n't know eight , years .","i don't know, eight, ten years."
i could n't tell but were a lot expensive back then .,i couldn't tell you but things were a lot less expensive back then.
50 look your or over insurance at should you . a,if you're 50 or over you should take a new look at your auto insurance.
be . overpaying may,you may be overpaying.
actually makes a of sense,actually that makes a lot of sense.
old policy,old policy.
old rates,old rates.
aarp insurance to experience program wheel hartford to $ save thanks you by the the the,"and thanks to your experience behind the wheel, you might save $350 by switching to the aarp auto insurance program from the hartford."
", 'll benefits that reward your record , our promise that wo be .","plus, you'll get benefits that reward your driving record, like our promise that you won't be dropped."
wait you n't drop me ?,"wait, you won't drop me?"
seriously,seriously?
"'s right , wo be dropped .","that's right, you won't be dropped."
i 'm gon call .,i'm gonna call.
you 50 or over now request your free .,if you're 50 or over call now to request your free quote.
i 'm calling,i'm calling.
request and call now calculator send quote free a your we,call now to request your free quote and we'll send you a free calculator.
the today the aarp program from call the insurance make hartford,call today and make the switchto the aarp auto insurance program from the hartford.
hello everybody .,"hello, everybody."
i 'm uma pemmaraju washington .,i'm uma pemmaraju in washington.
well it like they got deal .,"well, it looks like they've got a deal."
u.s. russia say they out a for to destroy chemical when pile .,u.s. and russia say they hammered out a plan for syria to destroy the chemical when stock pile.
does mean that is averted ?,does it mean that crisis is averted?
"coming , ask fox news analyst .","coming up, we ask the fox news military analyst."
"air , any way .","by air, land any way possible."
crews are rescuing hundreds people if as the has that is described as of biblical proportion,crews are rescuing hundreds of people if colorado as the state has flooding that is described as one of biblical proportion.
have a report from one the hardest area the top of hour,we have a live report from one of the hardest hit area at the top of hour.
battle the in what be richest and most watched fight .,battle of the undefeated in what could be box richest and most watched fight ever.
diana demayo alvarez square off -- mayweather alvarez square tonight in vegas,diana demayo and alvarez square off tonight --mayweather and alvarez square off tonight in vegas.
's at top the hour,that's at the top of the hour.
us join hope,hope you join us.
see then .,see you then.
have been hearing about .,you have been hearing about it.
should n't we on flexing economic biceps well as the six-pack military ?,and shouldn't we focus on flexing the economic biceps as well as the six-pack military abs?
have six-pack abs .,you have six-pack abs.
have the military in world bar none,"we have the strongest military in world, bar none."
know .,we know.
should about get to focus on economic strength,that should about we get back to focus on the economic strength?
"the king himself , 's on getting gas out the ground here to it sending over to china","to the energy king himself, let's focus on getting natural gas out of the ground here to liquefy it and sending it over to china."
are we here ?,what are we doing here?
need to out a to china dependent us and convert their to dollars,we need to find out a way to make china dependent on us and convert their dollars to our dollars.
"john globally , rank now in 2007 , were first global competitiveness .","john, globally, we rank fifth now in 2007, 2008.we were first on global competitiveness."
not only that freedom .,"not only, that economic freedom."
tenth,tenth.
sliding just about economic against the rest the .,sliding on just about every economic metric against the rest of the world.
havana or and not is cuba water york a pyongyang new new . in,"there is not a difference in water and new york and pyongyang or new york and havana, cuba."
created a status .,that created a superpower status.
was before federal or the minimum .,it was before the federal reserve or the minimum wage.
superpower status is established before .,or superpower status is established before that.
to . get and back to the return status,"to get back to the status, return to principles and the ideals."
this we are in the opposite .,with this president we are going in the opposite direction.
are getting it on the feet,we are getting it back on the economic feet.
i 'm not sure it that much to do how youregistered the rest of .,i'm not sure that it has that much to do with how youregistered with the rest of world.
who by i. main of but to waterloo 1815 taped peace 1914 . world world balance people power,the peace of the world was main taped 1815 waterloo to 1914 world war i. but by people who understood balance of power.
have a in middle .,we have a problem in middle east.
"we play one of those off other , between and the .","if we could play one of those people off the other, negotiate between one and the other."
"we recognize what the best are and utilize that , of using military with a , that what we need do position ourselves the of the .","if we could recognize what the selfish best interest are and utilize that, instead of using the military power with a threat, that is what we need to do to position ourselves with the rest of the world."
"tax our two have , we have lot and give quiet a .","we tax our people two have, we tax have a lot and give have-not quiet a bit."
sliding economically are .,we are sliding economically.
is a policy ?,is this a bad policy?
should guess back to society .,should we guess back to capitalist society.
"you the countries one , , three","if you look the countries,one, two, three."
as much we or britain that is we from 2018 the .,"as much as we were or britain, that is why we slid from 2018 the crash."
is a point .,there is a great point.
i will agree,i will agree.
need a diplomacy .,we need a robust diplomacy.
need to these people of each and what in our interest .,we need to play these people off of each other and do what is in our national interest.
let do this,let me do this.
rank 25th against world,we rank 25th against the world.
", are . reading","in reading, we are 12th."
education society economic freedom .,"education society, economic freedom."
the . heading are direction,we are heading the wrong direction.
need the schools to do wonderful josh the kid .,we need the fantastic schools to do a wonderful josh enkating the kid.
"are much less restrictions , how congress or business friendly .","they are much less restrictions, or how long congress or business friendly climb."
is not a 's natural or themilitary to wealth .,that is not a country's natural resources or themilitary to create wealth.
's a .,it's a principle.
i do n't know you to move and go toward european style ?,i don't know if you want to move away and go toward the european style socialism?
have 28 % unemployment in .,they have 28% unemployment in greece.
how did know ?,how did you know?
how did guess ?,how did you guess?
is the ?,what is the alternative?
move away capitalism .,move away from capitalism.
're putting words in mouth,you're putting words in my mouth.
"i 'm saying is you agree with wayne what everybody is yes , we need to double effort get the back on .","all i'm saying is you are agree with wayne and what everybody else is saying yes, we need to double the effort to get the economy back on track."
"when do obamacare , 's socialized medicine is it not","when you do obamacare, it's a socialized medicine, is it not?"
well it .,"well, it is."
are things that -- obviously we need rejuvenate economy .,"there are things that are -- obviously, we need to rejuvenate the economy."
"only need , have 4-1/2 years of obama .","we only need, we have had 4-1/2 years of obama."
are still above % unemployment rate .,we are still above 7% unemployment rate.
3 facts .,3 the facts.
have to with facts,we have to deal with facts.
rejuvenate economy in ways .,rejuvenate the economy in many ways.
"because is , , . something schism us freedom","yes, capitalism is something,because capital schism brings us freedom."
know that,we know that.
have to on that,we have to insist on that.
"the time , you to your selfish interest in to get the best can out it .","at the same time, you have to use your selfish best interest in diplomacy to get the best you can out of it."
proof of is history .,the proof of that is in history.
just read .,just read it.
very good,very good.
", will .","we will, wayne."
good advice,good advice.
sound advice,sound advice.
"protesting . , coming","coming up, forget protesting."
"inviting nine union workers team up the bus here say the membership drive to johns away.fort benning , in 1999.usaa auto insurance is handed down generation to generation .","inviting nine union workers to team up with the union bus some here say the new membership drive to drive johns away.fort benning, georgia in 1999.usaa auto insurance is often handed down from generation to generation."
"it a superior of protection and usaa 's to military members veterans , their families is without .","because it offers a superior level of protection and because usaa's commitment to serve military members, veterans, and their families is without equal."
"begin legacy , an auto quote .","begin your legacy, get an auto insurance quote."
usaa,usaa.
know what means serve .,we know what it means to serve.
"america coming out pulling from , the in labor","coming up, big labor pulling out the rug from workers in america."
voter one state called big labor making another push for members,voter of one state called big labor making another big push for members.
so far summer we seen protest for the workers now the afl-cio it will its doors to nonunion worker .,so far this summer we have seen protest for the nonunion workers and now the afl-cio announcing it will open its doors to any nonunion worker.
jonathan we been seeing a summer protest .,"jonathan, we have been seeing a summer of protest."
is bad for workers,this is bad for all workers.
how so sir ?,"how so, sir?"
the they join unions it bad .,to the extent they join the unions it's bad.
unions are pai parasite,unions are pai parasite.
need fresh blood to them alive,they need fresh blood to keep them alive.
union membership is half what was the .,the union membership is half of what it was on the 1950s.
"for . or the , the have what shoremen companies hostess know workers","we know what they have done for the companies employed, the hostess or the textile workers long shoremen."
are looking for to sign .,they are looking for anyone to sign up.
given union membership trends i think they likely to be for a good .,"given union membership trends, i think they are likely to be unsuccessful for a good reason."
john pointed something .,john pointed something out.
"the 45 years the union consistently with very few every year , they lost membemembership","in the last 45 years the union membership consistently with very few exceptions every year, they have lost membemembership."
go town .,go to town.
"'re all business , this is business for the .","you're all for business decision, this is a business decision for the afl-cio."
bring more members to more money for themselves,bring in more members to create more money for themselves.
create more action members .,create more action for members.
are no representing the workers,they are no longer representing the workers.
represent the views .,they represent the political views.
the of the they asking for lot .,at the end of the day they are asking for a lot.
giving very little .,giving back very little.
i do n't hold as if for who not sponsored jobs in this country,i don't hold them as accountable if for government who has not sponsored the jobs in this country.
are not working .,they are not working.
do n't have anywhere to .,they don't have anywhere to go.
policy in country not help create jobs .,the policy in the country is not help create jobs.
not business-friendly administration .,not a business-friendly administration.
wayne i guess julie is right .,"wayne, i guess julie is right."
ca n't blame them trying,you can't blame them for trying.
take will any .,they will take any workers.
? does it,what does it mean?
worker nonunionized will pay dues to union,any worker nonunionized will pay dues to a union?
what,for what?
is the .,that is the idea.
"or it 's viable idea yet to be tested.i do think anyone will pay a union leader to represent politically , which what they asking .","whether or not it's a viable idea is yet to be tested.i don't think anyone will pay a union leader to represent them politically, which is what they are asking."
are not doing anything for worker,they are not doing anything for the worker.
do n't have it .,we don't have it anymore.
viability of union not what they used be,the viability of a union is not what they used to be.
is nothing left for to .,there is nothing left for them to do.
"are out perpetuate , they leaders trying get as much .","they are out to perpetuate themselves, they are leaders and trying to get as much money."
just a .,just like a lobbyist.
lobbyist essentially .,the lobbyist essentially.
right,right.
's a lobby .,it's a political lobby.
"unions that their useful you talk the idiots , 's they have become","unions -- that is their useful, you talk about the useful idiots, that's what they have become."
"unfortunately not just lobbying , being monopoly power by government .","unfortunately, not just lobbying, but being granted monopoly power by government."
nobody wants argue against 's right advocate for principle or they .,nobody wants to argue against anyone's right to advocate for the principle or position they want.
"where unions have gone astray is getting the favors , granted the government","where the unions have gone astray is getting the special favors, granted by the government."
"know -- number thebusinesses , industry airlines automobiles which the unions been involved","we know -- any number of thebusinesses, the industry airlines, automobiles for which the unions have been involved."
i ca n't imagine why,i can't imagine why.
i 'm not surprised why most workers are saying .,i'm not surprised why most workers are saying no.
quick thought,quick thought.
"owners not wall deserve lobby lobby unions a street , deserves","wall street deserves a lobby, gun owners deserve a lobby but not unions?"
c'mon,c'mon.
"whoa get the , not favors .","whoa, get the lobby, not special favors."
represent everything and percentage of the -- % for membership .,they represent everything and overall percentage of the workforce --  11% for union membership.
diminishing the .,diminishing by the day.
thanks san dr. dr. and for joining .,thanks to san dr. dr. and sandra for joining us.
"lock loaded , back .","lock, loaded, firing back."
recalled voters spending powerful message to antigun .,recalled voters spending a powerful message to the antigun politicians.
do n't tell what can ca n't with our own money,don't tell us what we can or can't buy with our own money.
20 years the .,20 years with the company.
thousands presentations .,thousands of presentations.
one partnership . earned rd,and one rd earned partnership.
took a of work get this now i supposed to take a back seat it comes my investments ?,it took a lot of work to get this far.so now i'm supposed to take a back seat when it comes to my investments?
chance happening zero of 's,there's zero chance of that happening.
"when work with schwab consultant , you 'll the you need with control you .","when you work with a schwab financial consultant, you'll get the guidance you need with the control you want."
talk us .,talk to us today.
time what i need to know next week,time for what do i need to know for next week?
wayne you up first .,"wayne, you are up first."
kek xbi .,kek out xbi.
i 'm little leery of themarket doing .,i'm a little leery of what themarket is doing.
long-term look for biotech,"long-term, look for the biotech."
little risky there,little risky there.
go ahead john .,"go ahead, john."
africa,africa.
is a destination .,this is a hot destination.
afk is exchange traded fund i 'm looking at .,afk is the exchange traded fund i'm looking at now.
has financials .,this has financials.
it have there to,we have to leave it there.
i love song .,i love that song.
is it cost freedom block,that is it for cost of freedom block.
thank for us .,thank you for joining us.
"we , they two lawmakers this week .","before we go, they call two democratic lawmakers this week."
"president the senate , john getting booted from the legislature","president of the colorado senate, john morris getting booted from the legislature."
are expanding gun control laws .,they are expanding gun control laws.
colorado is blue state .,colorado is a blue state.
something interested happened colorado .,something interested happened in colorado.
something democrats in might take note of .,something the democrats in 2014 might take note of.
do n't mess the a.m. we have right to the good roll .,don't mess with the second a.m. we have a right to bearlet the good times roll.
had a carnaval in rome behind us in .,they had a mini carnaval in rome right behind us in rome.
will all be different tomorrow .,it will all be different tomorrow.
i 'm shepard smith,i'm shepard smith.
here comes world with cavuto .,here comes your world with neil cavuto.
tonight barack obama has choice maggie or or keep the same games spending that have capital more like walt .,"tonight barack obama has choice, maggie or nicky or keep playing the same games on spending that have the capital more looking like walt disney."
it a report out of of surprising to take pressure this president to spending this night in .,all it took a report out out of treasury of a surprising surplus to take the pressure off this president to cut spending this cold night in february.
democrats quickly seizing the proof the deficits getting better thanks to higher taxes,democrats quickly seizing on the data proof the deficits are getting better thanks to higher taxes.
"president apparently says that debt is allbut done , he has up $ 4 trillion cuts mission .","the president apparently says that his debt slashing is allbut done, he has come up with $4 trillion budget cuts and mission accomplished."
's over years and still us $ 35 more in debt over the same years .,it's over ten years and still leave us $35 trillion more bucks in debt over the same ten years.
are really saying it have been worse ?,are we really saying it could have been worse?
"could have been $ trillion more , more less .","it could have been $9 trillion more, more or less."
do n't expect much cutting,don't expect much cutting.
because now is not time to .,because now is not the time to cut.
"got to yourself , is time to cut","you got to ask yourself, when is the time to cut?"
the is too fragile to cut why is it perfectly fine raise taxes ?,if the economy is too fragile to cut spending why is it perfectly fine to raise taxes?
so revenue is good less government bad ?,so revenue is good and less government bad?
's time to moment of spending now but something tells not this president not now it 's that barack obama senses urgency to cut nor the need pelosi does even see spending problem .,it's time to seized moment of spending right now but something tells me not this president and not now because it's clear that barack obama neither senses the urgency to cut spending nor the need and pelosi doesn't even see a spending problem.
because now is not time tobe cutting anything which think says everything .,because now is not the time tobe cutting anything which i think says everything.
'll use the coming into office years ago because we simply n't to do it then .,he'll use the argue coming into office four years ago because we simply couldn't afford to do it then.
six trillion debt and years later later .,six trillion in debt and four years later later.
seriously when is the time to cut,"seriously, when is the right time to cut?"
when is time to serious .,when is the time to get serious.
cuts are never easier,cuts are never easier.
"just maggie thatcher , of her party she to weather it end making history","just as maggie thatcher, revolt of her own party when she to weather it and end up making history."
other party and spending will stay with us,no other party and reckless spending will stay with us.
? remember that boom,remember the boom that followed?
unprecedented boom that ?,the unprecedented boom that followed?
seizing such moment maggie thatcher known the iron lady .,"for seizing such a moment, maggie thatcher became known as the iron lady."
"likely punting big moment , obama has little to fearhe ever be called the ironman .","her likely punting big moment, barack obama has little to fearhe will ever be called the ironman."
"believe , hope i am wrong but art i suspect i am not ?","believe me, i hope i am wrong but art laffer i suspect i am not?"
's the monologue since johnny .,it's the best monologue since johnny carson.
. are awful,you are awful.
are great,are great.
finish point .,finish your point.
i love spending cut idea .,i love the spending cut idea.
i do n't think obama is going do it i thatcher did it .,i don't think obama is going to do it but i remember thatcher did it.
reason we a bad in large part not in spite of it,the reason we have a bad economy in large part is not in spite of it.
"it n't the ideal to cut in midst of recession years ago year , it was dicey and after that the was dicey , when the right to .","if it wasn't the ideal moment to cut in the midst of a recession four years ago and year later, it was dicey and year after that the recovery was still dicey, when is the right time to cut."
"maggie thatcher did the of all , longer term would more than justify acute short term ?","maggie thatcher did it the midst of all environments, arguingthat longer term gains would more than justify acute short term pay?"
"real serious thing government spending is taxation , really .","real serious thing, government spending is taxation, it really is."
government does n't create resources it resources .,"government doesn't create resources, it redistributes resources."
when should cut unnecessary spending is in middle a recession,when you should cut unnecessary spending is in the middle of a recession.
"i know people will tell it not true , but is .","i know people will tell you it's not true, but it is true."
ca n't tax an out of recession,you can't tax an economy out of a recession.
just plain ca n't .,you just plain can't.
"i wanted to with this melissa into , whether the report of treasury the of that .","and i wanted to get with this into melissa francis into this, whether the first report out of the treasury indicates the whisperings of that."
ca n't hang your on tax and ca n't hoping and praying important another boom ?,you can't hang your hat on tax hikes and can't be hoping and praying important another internet boom?
ca n't .,you can't.
have to a low tax and free trade minimal regulations and out of theway,you have to do a low rate tax and free trade and minimal regulations and get out of theway.
economy will get it of sefgs,the economy will get it out of the sefgs.
is to do . what is,that is what it is supposed to do.
governments are n't job creators .,governments aren't the job creators.
set the and set stage and the private handle it,they set the rules and set the stage and let the private sector handle it.
's unfortunately not what guy doing .,it's unfortunately not what this guy is doing.
"have hope despite bad not probably we will boom come and . these it the maybe we i of , boom somewhere","i hope somewhere along the line we have a boom despite all these bad policies and we probably will, maybe not a boom but we will come out of it."
is despite the but of them,that is despite of the policies but because of them.
great you see,great to see you.
it a magnificent .,and it was a magnificent introduction.
i loved .,i loved it.
tax in roll let hikes,let the tax hikes roll in.
is a reason why the budget are looking good or at least .,there is a big reason why the budget numbers are looking good or at least better.
crediting higher payroll income tax revenues for shocking .,crediting higher payroll and income tax revenues for the shocking improvement.
payroll taxes bringing in billion dollars in january taxes and more spending .,"payroll taxes, bringing in 9 billion dollars in january andmore taxes and more spending cuts."
melissa francis sandra smith .,melissa francis and sandra smith.
do you ?,what do you think?
i have totally different interpretation the media flipped this .,i have a totally different interpretation the mainstream media flipped this.
"saw it the , is because payroll cuts expired","you saw it on the screen, this is because the payroll tax cuts expired."
noticed all writers their paycheck january was smaller it was before .,they noticed all these writers that their paycheck on january 1st was smaller than it was before.
does n't have anything to with the .,this doesn't have anything to do with the government.
"money that in january hey , , there is .","that money that disappeared in january, hey, look, there it is."
government has it,the government has it.
going what . up i think waking are,i think they are waking up to what is going on.
"i hope are right , disagree with you","i hope you are right, i disagree with you."
to are on are chug . things and doing sandra coming seize working could we beginning deficits and one,"sandra, one could seize on this and whatever we are doing is working because things are beginning to chug along and deficits are coming down."
're only looking at 800 deficit ?,we're only looking at $800 billion deficit?
is not the .,that is not the case.
"media is touting that 3 surplus , we 're ourway","the media is touting that $3 billion surplus, we're on ourway."
has nothing to with the that were spending in month of january .,it has nothing to do with the fact that there were spending less in the month of january.
fact it n't because they growing and economy was actually .,in fact it wasn't because they were growing jobs and economy was actually improving.
"were taxing those were more , bottom line neil it does address that going to impact things going in the next months .","they were taxing those that were earning more, bottom line, neil it doesn't address how that is going to impact things going forward in the next few months."
are going to it have growth effect,you are going to say it have a growth effect?
saw consumer sentiment fall to lowest in january as saw their checks shrink .,we saw consumer sentiment fall to the lowest level in january as people saw their pay checks shrink.
retail sales it expected to grow one-tenth of 1 percent,"retail sales, it's expected to grow only one-tenth of 1 percent."
shrunk to the $ billion but we 're not to spending and feeling heck lot worse about economy .,they shrunk to create the $3 billion surplus but we're not going to be spending and feeling heck a lot worse about the economy.
is going around .,what is going around.
dow is getting closer all record .,dow is getting closer to all time record.
up 48 points today,up 48 points today.
must see the thing that you on business .,they must see the same thing that you report on fox business.
they it and itor it ?,either they see it and ignore itor see it?
do n't care what government doing .,they don't care what the government is doing.
are looking a the is .,they are looking a what the fed is doing.
is what stock is all about .,that is what the stock market is all about.
i do n't buy .,i don't buy it.
i do n't think buy it,i don't think they buy it.
g.d.p,g.d.p.
contracted the quarter .,contracted in the fourth quarter.
was devastating news a time ago .,that was devastating news a short time ago.
are focused like laser ben bernanke what he is .,they are focused like a laser on ben bernanke and what he is doing.
has said he targeting unemployment .,he has said he is targeting unemployment.
do n't think it going to go 6 %,they don't think it's going to go to 6%.
is going to to pump easy money the economy and interest low as as unemployment does n't drop too low,he is going to continue to pump this easy money into the economy and keep interest rates low as long as unemployment doesn't drop too low.
pays to in stock bonds .,it pays to be in stock and bonds.
is what are to .,that is what they are reacting to.
"wall street is saying , is n't going down anytime .","what wall street is saying, unemployment isn't going down anytime soon."
i worry about,what i worry about.
